facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id,department_name,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants
850,HARDING SPORTS CENTER*,99 Harding Rd,San Francisco,94132,7283004,Own,49,Recreation And Parks,1000,-122.4994414,37.72550798,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.72550797700001', 'longitude': '-122.49944140500003'}",7,
,,,,,,,,,,,,,,
1312,Police Stables Shed,1475 John F Kennedy Dr,San Francisco,94117,1263011,Own,49,Recreation And Parks,400,-122.4810267,37.76906878,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.76906878199998', 'longitude': '-122.48102672099998'}",1,
,,,,,,,,,,,,,,
559,Crocker Amazon Soccer Fields,Moscow St & Italy Ave,San Francisco,94134,6284A001,Own,49,Recreation And Parks,,-122.4290923,37.71345313,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.713453130999994', 'longitude': '-122.42909229899999'}",11,
,,,,,,,,,,,,,,
593,Downtown Ferry Terminal,San Francisco Ferry Bldg,San Francisco,94105,9900501,Own,46,Port,12830,-122.3933386,37.79555343,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.79555343300001', 'longitude': '-122.393338572'}",3,
,,,,,,,,,,,,,,
1625,Speedway Meadow Restroom,Middle Dr W,San Francisco,94122,1263011,Own,49,Recreation And Parks,840,-122.4810267,37.76906878,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.76906878199998', 'longitude': '-122.48102672099998'}",1,
,,,,,,,,,,,,,,
10,Adam Rogers Park Bathrooms,45 George Ct,San Francisco,94124,4715001,Own,49,Recreation And Parks,,-122.3837052,37.73087956,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.730879560999995', 'longitude': '-122.383705211'}",10,
,,,,,,,,,,,,,,
63,48TH AVE/ORTEGA ST SFMTA Operator Bathroom,48th Ave & Ortega St,San Francisco,94116,,,42,Municipal Transportation Agency,,-122.5073308,37.75088663,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.750886630000025', 'longitude': '-122.50733083799997'}",4,
,,,,,,,,,,,,,,
460,Charlie Sava Community Pool,2695 19th Ave,San Francisco,94116,2420001,Own,49,Recreation And Parks,12900,-122.4756981,37.73778724,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.737787235999974', 'longitude': '-122.47569805199998'}",4,
